img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_9031276AmericaFrontccc.jpg,Grand Theft Auto V,PC,Action,Rockstar Games,Rockstar North,,,,12.6,,,,,,2015-04-14,2018-11-02
/games/boxart/full_1182151AmericaFrontccc.jpg,Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,9.0,10.0,,,11.09,6.8,0.14,3.11,1.04,2008-04-29,
/games/boxart/full_1729769AmericaFrontccc.jpg,Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,9.0,10.0,9.0,,10.57,4.79,0.44,3.73,1.62,2008-04-29,
/games/boxart/full_423137AmericaFrontccc.jpg,The Last of Us Part II,PS4,Action,Sony Interactive Entertainment,Naughty Dog,7.0,9.4,,10.3,,,,,,2020-06-19,2020-07-25
/games/boxart/full_3769410AmericaFrontccc.jpg,Dead Cells,All,Action,Motion Twin,Motion Twin,,,,10.0,,,,,,2018-08-07,2020-10-09
/games/boxart/full_421168AmericaFrontccc.jpg,Uncharted: The Nathan Drake Collection,PS4,Action,Sony Computer Entertainment,Bluepoint Games,,,,9.98,,,,,,2015-10-07,
/games/boxart/full_8886048AmericaFrontccc.jpg,The Binding of Isaac,Series,Action,Edmund McMillen,Edmund McMillen,,,,9.93,,,,,,2011-09-28,2020-03-23
/games/boxart/full_uncharted-3-drakes-deception_174AmericaFront.jpg,Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,Naughty Dog,9.0,9.3,6.3,9.3,,,,,,2011-11-01,
/games/boxart/full_9724978AmericaFrontccc.jpg,Ninja Gaiden,Series,Action,Tecmo,Tecmo,,,,8.96,,,,,,1988-10-01,2021-01-23
/games/boxart/full_8047513AmericaFrontccc.jpg,Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,,9.0,9.0,,8.72,4.7,0.01,3.25,0.76,2014-11-18,2018-04-11
/games/boxart/full_6435755AmericaFrontccc.jpg,Devil May Cry 5,All,Action,Capcom,Capcom,,,,8.4,,,,,,2019-03-08,2020-10-11
/games/boxart/full_3182726AmericaFrontccc.jpg,Harry Potter and the Sorcerer's Stone,PS,Action,Electronic Arts,Argonaut Games,,8.0,,8.0,,,,,,2001-11-15,
/games/boxart/full_513702AmericaFrontccc.png,Samurai Warriors,Series,Action,KOEI,Omega Force,,,,8.0,,,,,,2004-05-06,2020-02-15
/games/boxart/1340019ccc.jpg,Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,,8.8,,,7.72,2.9,0.24,2.83,1.74,2005-10-25,
/games/boxart/full_3803324AmericaFrontccc.jpg,God of War III,PS3,Action,Sony Computer Entertainment,SCEA Santa Monica Studio,9.4,9.2,9.4,7.6,,,,,,2010-03-16,
/games/boxart/full_the-binding-of-isaac_366AmericaFront.jpg,The Binding of Isaac,PC,Action,Edmund McMillen,Edmund McMillen,,8.3,,7.17,,,,,,2011-09-28,2018-12-01
/games/boxart/full_2350454AmericaFrontccc.jpg,Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,9.2,9.5,9.6,,6.74,3.28,0.21,2.22,1.02,2009-10-13,
/games/boxart/full_7375558AmericaFrontccc.jpg,Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,,,6.57,2.82,0.17,2.58,1.0,2011-10-11,
/games/boxart/full_2634795AmericaFrontccc.jpg,Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,10.0,,6.5,3.77,0.09,2.03,0.6,2010-05-18,
/games/boxart/7411582ccc.jpg,Driver,PS,Action,GT Interactive,Reflections Interactive,,8.5,,,6.27,3.11,0.02,2.8,0.33,1999-06-30,
/games/boxart/full_6263363AmericaFrontccc.jpg,Bayonetta,Series,Action,Sega,PlatinumGames,,,,6.24,,,,,,2010-01-05,2020-11-24
/games/boxart/full_3722346AmericaFrontccc.jpg,Devil May Cry 4,All,Action,Capcom,Capcom,,,,5.8,,,,,,2008-02-05,2020-10-11
/games/boxart/full_2958031AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,Traveller's Tales,,8.0,,,5.66,3.57,,1.57,0.52,2007-11-06,
/games/boxart/full_2704497AmericaFrontccc.jpg,God of War III Remastered,PS4,Action,Sony Computer Entertainment,SCEA Santa Monica Studio,,,,5.62,,,,,,2015-07-14,2018-12-03
/games/boxart/full_5252150AmericaFrontccc.jpg,Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,9.0,9.0,,,5.57,2.54,0.21,1.95,0.86,2009-11-17,2018-01-03
/games/boxart/full_7562642AmericaFrontccc.jpg,Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,7.5,8.2,8.0,,5.55,3.28,0.07,1.64,0.56,2007-11-13,
/games/boxart/full_batman-arkham-city_591AmericaFront.jpg,Batman: Arkham City,PS3,Action,Warner Bros. Interactive,Rocksteady Studios,9.5,9.6,,,5.54,2.72,0.11,1.89,0.82,2011-10-18,
/games/boxart/full_5321723AmericaFrontccc.jpg,Tomb Raider (2013),PC,Action,Square Enix,Crystal Dynamics,,8.8,,5.5,,,,,,2013-03-05,2018-01-06
/games/boxart/full_727021AmericaFrontccc.png,Uncharted: The Lost Legacy,PS4,Action,Sony Interactive Entertainment,Naughty Dog,,,,5.34,,,,,,2017-08-22,
/games/boxart/full_8353337AmericaFrontccc.jpg,Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,9.0,9.1,,,5.3,3.14,0.08,1.55,0.52,2009-11-17,
/games/boxart/full_989928AmericaFrontccc.jpg,Resident Evil 5,PS3,Action,Capcom,Capcom,8.4,8.6,8.8,,5.1,1.96,1.08,1.42,0.64,2009-03-13,
/games/boxart/full_1162504AmericaFrontccc.jpg,Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,,8.4,,,5.08,1.7,0.16,2.03,1.19,2006-10-31,
/games/boxart/full_5597924AmericaFrontccc.jpg,Dead by Daylight,All,Action,Behaviour Interactive,Behaviour Interactive,,,,5.0,,,,,,2016-06-14,2021-02-08
/games/boxart/full_6602824AmericaFrontccc.jpg,Ghostbusters,Series,Action,Activision,Activision,,,,5.0,,,,,,1984-10-26,2023-08-11
/games/boxart/full_8948277AmericaFrontccc.jpg,Hyrule Warriors,Series,Action,Nintendo,Omega Force,,,,5.0,,,,,,2014-09-26,2020-11-24
/games/boxart/full_7863698AmericaFrontccc.jpg,Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,Naughty Dog,8.7,8.7,8.6,,4.97,2.32,0.12,1.73,0.8,2007-11-16,
/games/boxart/full_3891455AmericaFrontccc.jpg,Resident Evil 2,PS,Action,Capcom,Capcom,,9.3,,4.96,,,,,,1998-01-21,
/games/boxart/full_2363378AmericaFrontccc.jpg,Assassin's Creed,PS3,Action,Ubisoft,Ubisoft Montreal,7.5,8.2,8.5,,4.83,1.91,0.09,2.01,0.82,2007-11-13,
/games/boxart/full_5884504AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,Traveller's Tales,,7.8,,,4.77,2.83,,1.49,0.45,2007-11-06,
/games/boxart/full_batman-arkham-city_302AmericaFront.jpg,Batman: Arkham City,X360,Action,Warner Bros. Interactive,Rocksteady Studios,,9.5,,,4.75,2.99,0.04,1.28,0.44,2011-10-18,
/games/boxart/full_6536899AmericaFrontccc.jpg,Driver 2,PS,Action,Atari,Reflections Interactive,,7.0,,,4.73,2.36,0.02,2.1,0.25,2000-11-13,
/games/boxart/8307809ccc.jpg,The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,Stormfront Studios,,8.3,,,4.67,1.94,0.08,1.95,0.7,2002-10-21,
/games/boxart/8585565ccc.jpg,Tomb Raider,PS,Action,Eidos Interactive,Core Design Ltd.,,8.9,,,4.63,2.29,0.13,1.97,0.24,1996-11-14,
